Designator,Footprint,Quantity,Value,LCSC Part #
"C0, C1",C_Disc_D3.0mm_W2.0mm_P2.50mm,2,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",Diode_DO-35,16,~,
J0,OLED_128x32,1,OLED_128x32,
"J1, J2",FanPinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
"R0, R1",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4.7k,
"R2, R3, R4, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,10k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",Choc_V2_hybrid_flex_RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,16,RotaryEncoder_Switch,
U1,rp2040-zero-tht,1,rp2040-zero,
"U2, U3",DIP-28_W7.62mm,2,MCP23017x-x-SP,
U4,TRRS_PJ-320A,1,TRRS,
