Designator,Mid X,Mid Y,Rotation,Layer
C0,120.195788,-6.056,180.0,top
C1,115.075788,-6.096,0.0,top
D1,156.845,-22.86,270.0,top
D10,173.355,-22.86,270.0,top
D11,184.785,-22.86,270.0,top
D12,196.215,-22.86,270.0,top
D13,164.465,-22.86,270.0,top
D14,175.895,-22.86,270.0,top
D15,187.325,-22.86,270.0,top
D16,198.755,-22.86,270.0,top
D2,168.275,-22.86,270.0,top
D3,179.705,-22.86,270.0,top
D4,191.135,-22.86,270.0,top
D5,159.385,-22.86,270.0,top
D6,170.815,-22.86,270.0,top
D7,182.245,-22.86,270.0,top
D8,193.675,-22.86,270.0,top
D9,161.925,-22.86,270.0,top
J0,149.225,-18.415,180.0,top
J1,171.233266,-12.696419,270.0,bottom
J2,181.155488,-12.708037,270.0,bottom
R0,127.780355,-6.096,0.0,top
R1,137.940355,-6.096,0.0,top
R2,147.955,-6.096,180.0,top
R3,188.595,-6.096,180.0,top
R4,178.435,-6.096,180.0,top
R5,168.275,-6.096,180.0,top
R6,158.115,-6.096,180.0,top
SW1,132.6,-38.385,0.0,top
SW10,151.65,-76.485,0.0,top
SW11,170.7,-76.485,0.0,top
SW12,189.75,-76.485,0.0,top
SW13,132.6,-95.535,0.0,top
SW14,151.65,-95.535,0.0,top
SW15,170.7,-95.535,0.0,top
SW16,189.75,-95.535,0.0,top
SW2,151.65,-38.385,0.0,top
SW3,170.7,-38.385,0.0,top
SW4,189.75,-38.385,0.0,top
SW5,132.6,-57.435,0.0,top
SW6,151.65,-57.435,0.0,top
SW7,170.7,-57.435,0.0,top
SW8,189.75,-57.435,0.0,top
SW9,132.6,-76.485,0.0,top
U1,124.48375,-17.78,270.0,bottom
U2,117.63375,-46.83125,180.0,top
U3,117.475,-85.725,180.0,top
U4,196.857161,-10.629048,0.0,top
